Africa,Chad,185,173,262,173,447
North America,Anguilla,189,176,251,176,440
South America,Paraguay,206,203,218,203,424
Europe,Russia,210,202,240,202,450
Asia,Yemen,199,177,242,177,441
Africa,Senegal,178,183,237,183,415
Europe,Sweden,201,192,244,192,445
Oceania,Tokelau,210,214,249,214,459
Oceania,Kiribati,204,196,248,196,452
South America,Guyana,210,206,271,206,481
Africa,Eritrea,207,186,257,186,464
Europe,Jersey,211,197,244,197,455
Asia,Philippines,201,194,261,194,462
Africa,Djibouti,203,193,255,193,458
Oceania,Tonga,201,197,235,197,436
Asia,Malaysia,224,213,233,213,457
Asia,Singapore,182,206,255,206,437
Oceania,Fiji,211,186,241,186,452
Asia,Turkey,196,214,238,214,434
North America,United States Virgin Islands,206,193,249,193,455
Africa,Malawi,189,201,248,201,437
Asia,Iraq,193,195,237,195,430
North America,Sint Maarten (Dutch part),195,198,228,198,423
Europe,Germany,191,197,230,197,421
Oceania,Northern Mariana Islands,204,183,265,183,469
Africa,Comoros,191,186,256,186,447
Asia,Afghanistan,202,190,230,190,432
Asia,Cambodia,191,212,260,212,451
Asia,Jordan,208,208,269,208,477
Asia,Maldives,187,207,249,207,436
Africa,Rwanda,206,192,251,192,457
Africa,Saint Helena,194,210,257,210,451
Africa,Sudan,200,208,244,208,444
Oceania,Palau,199,190,246,190,445
Europe,France,193,197,285,197,478
North America,Turks and Caicos Islands,221,232,229,232,450
Europe,Greece,197,179,262,179,459
Europe,Kosovo,192,188,248,188,440
Asia,Sri Lanka,184,180,250,180,434
North America,Montserrat,173,183,236,183,409
North America,British Virgin Islands,205,200,250,200,455
North America,Dominica,181,178,241,178,422
Africa,Algeria,196,195,240,195,436
Africa,Equatorial Guinea,222,194,239,194,461
Africa,Togo,191,189,235,189,426
Europe,Slovakia,210,179,261,179,471
Africa,Reunion,211,206,274,206,485
South America,Argentina,196,226,252,226,448
Africa,Angola,198,182,214,182,412
Europe,Belgium,189,207,255,207,444
Europe,Vatican,180,193,237,193,417
Europe,San Marino,207,171,247,171,454
South America,Ecuador,199,197,252,197,451
Asia,Qatar,218,195,235,195,453
North America,Bonaire Sint Eustatius and Saba,214,190,223,190,437
Africa,Lesotho,174,199,231,199,405
Europe,Albania,192,216,286,216,478
Africa,Madagascar,184,187,250,187,434
Europe,Finland,185,195,249,195,434
Oceania,New Caledonia,216,203,259,203,475
Africa,Ghana,184,217,253,217,437
Asia,Myanmar,181,200,244,200,425
North America,Nicaragua,197,203,247,203,444
Europe,Guernsey,195,197,244,197,439
Africa,Benin,205,207,253,207,458
South America,Peru,186,176,247,176,433
Africa,Sierra Leone,179,210,223,210,402
North America,Bahamas,190,182,256,182,446
Asia,China,203,204,256,204,459
North America,Curacao,195,186,236,186,431
Asia,India,207,205,219,205,426
North America,United States,229,199,256,199,485
Europe,Belarus,211,191,255,191,466
Oceania,American Samoa,183,217,215,217,398
Asia,Kuwait,203,198,280,198,483
Europe,Malta,199,203,247,203,446
Africa,Sao Tome and Principe,186,202,253,202,439
Oceania,Marshall Islands,209,208,258,208,467
Africa,Somalia,182,206,251,206,433
Oceania,Tuvalu,210,189,265,189,475
South America,Chile,238,176,264,176,502
North America,Puerto Rico,199,207,244,207,443
Asia,Tajikistan,208,200,257,200,465
North America,Martinique,193,191,246,191,439
North America,Cayman Islands,198,177,252,177,450
Europe,Isle of Man,219,200,236,200,455
Europe,Croatia,216,207,248,207,464
Africa,Burundi,201,178,249,178,450
Europe,Andorra,197,177,277,177,474
South America,Bolivia,205,185,256,185,461
Africa,Nigeria,205,212,236,212,441
Africa,Gabon,197,203,240,203,437
Europe,Italy,180,196,267,196,447
South America,Suriname,215,209,264,209,479
Europe,Lithuania,202,192,248,192,450
Europe,Norway,204,175,243,175,447
Asia,Turkmenistan,203,215,219,215,422
North America,Saint Pierre and Miquelon,193,205,236,205,429
Europe,Spain,193,199,250,199,443
North America,Cuba,192,199,236,199,428
Africa,Mauritania,203,201,241,201,444
Europe,Czechia,202,192,245,192,447
North America,Guadeloupe,214,185,267,185,481
Africa,Central African Republic,224,209,262,209,486
Europe,Denmark,195,218,236,218,431
Africa,Niger,219,210,254,210,473
Asia,Bangladesh,182,207,238,207,420
North America,Barbados,192,193,254,193,446
Asia,Iran,183,199,242,199,425
Europe,Ireland,203,218,262,218,465
Oceania,Pitcairn,217,179,253,179,470
Africa,Congo,175,186,262,186,437
Europe,Liechtenstein,187,184,269,184,456
Asia,Laos,218,202,264,202,482
Asia,Thailand,186,214,244,214,430
Asia,Bhutan,190,176,261,176,451
Europe,Monaco,202,205,233,205,435
Africa,Morocco,205,205,253,205,458
Africa,Cape Verde,185,187,232,187,417
North America,Panama,197,204,247,204,444
Asia,Hong Kong,197,207,239,207,436
Oceania,Nauru,208,214,256,214,464
Europe,Ukraine,227,191,246,191,473
South America,Venezuela,197,175,231,175,428
Europe,Iceland,206,186,271,186,477
Asia,Israel,203,203,254,203,457
North America,Saint Barthelemy,213,190,223,190,436
North America,Saint Kitts and Nevis,190,207,256,207,446
Europe,Faeroe Islands,199,191,234,191,433
Oceania,French Polynesia,197,212,239,212,436
Asia,Oman,222,186,269,186,491
Asia,North Korea,208,191,263,191,471
Asia,South Korea,206,198,239,198,445
Europe,Cyprus,215,209,229,209,444
Europe,Gibraltar,203,226,250,226,453
Asia,Palestine,204,191,244,191,448
South America,Uruguay,208,189,245,189,453
Africa,Cote d'Ivoire,206,198,273,198,479
North America,Mexico,206,203,253,203,459
North America,Aruba,191,203,245,203,436
Europe,Estonia,217,213,246,213,463
Asia,Georgia,218,190,239,190,457
Europe,Montenegro,200,202,237,202,437
Africa,Zimbabwe,181,197,235,197,416
Asia,Indonesia,201,202,236,202,437
North America,Saint Vincent and the Grenadines,226,198,230,198,456
Oceania,Guam,199,191,239,191,438
North America,Guatemala,190,214,239,214,429
Asia,Mongolia,196,188,227,188,423
Asia,Azerbaijan,193,184,260,184,453
Africa,Libya,215,168,237,168,452
North America,Grenada,198,186,243,186,441
Asia,Armenia,205,194,251,194,456
Africa,Liberia,212,189,237,189,449
Africa,Tunisia,185,189,269,189,454
North America,Honduras,192,204,265,204,457
Asia,Syria,221,181,250,181,471
North America,Trinidad and Tobago,172,184,232,184,404
Asia,Saudi Arabia,199,176,255,176,454
Africa,Uganda,219,180,232,180,451
Oceania,Wallis and Futuna,223,196,246,196,469
South America,French Guiana,209,200,225,200,434
Africa,Mayotte,201,183,242,183,443
Africa,Namibia,205,212,236,212,441
Europe,Switzerland,224,199,253,199,477
Africa,Zambia,199,201,234,201,433
Africa,Ethiopia,186,180,236,180,422
Africa,Eswatini,213,190,239,190,452
North America,Jamaica,218,192,265,192,483
Europe,Latvia,173,187,253,187,426
Asia,Brunei,196,194,234,194,430
Africa,South Sudan,191,214,243,214,434
Asia,United Arab Emirates,190,195,265,195,455
North America,Saint Lucia,198,196,237,196,435
Africa,Guinea,196,204,254,204,450
North America,Canada,192,204,253,204,445
Asia,Timor,201,212,246,212,447
Africa,Seychelles,205,220,242,220,447
Asia,Kyrgyzstan,198,193,236,193,434
Europe,North Macedonia,240,187,258,187,498
Oceania,Samoa,201,181,245,181,446
Asia,Uzbekistan,201,200,229,200,430
Africa,Mozambique,194,203,240,203,434
Oceania,Cook Islands,211,200,259,200,470
