Africa,Chad,219,256,193,256,412
North America,Anguilla,230,264,167,264,397
South America,Paraguay,183,238,182,238,365
Europe,Russia,186,240,165,240,351
Asia,Yemen,219,233,216,233,435
Africa,Senegal,196,261,190,261,386
Europe,Sweden,185,237,182,237,367
Oceania,Tokelau,203,246,209,246,412
Oceania,Kiribati,207,241,193,241,400
South America,Guyana,229,241,202,241,431
Africa,Eritrea,208,246,169,246,377
Europe,Jersey,184,258,182,258,366
Asia,Philippines,199,253,184,253,383
Africa,Djibouti,195,253,193,253,388
Oceania,Tonga,168,261,195,261,363
Asia,Malaysia,193,257,187,257,380
Asia,Singapore,202,237,194,237,396
Oceania,Fiji,193,260,177,260,370
Asia,Turkey,210,249,192,249,402
North America,United States Virgin Islands,201,269,195,269,396
Africa,Malawi,208,256,172,256,380
Asia,Iraq,217,249,190,249,407
North America,Sint Maarten (Dutch part),180,264,194,264,374
Europe,Germany,179,263,187,263,366
Oceania,Northern Mariana Islands,196,245,209,245,405
Africa,Comoros,196,238,207,238,403
Asia,Afghanistan,189,216,183,216,372
Asia,Cambodia,194,242,177,242,371
Asia,Jordan,209,245,181,245,390
Asia,Maldives,207,267,182,267,389
Africa,Rwanda,195,256,199,256,394
Africa,Saint Helena,191,274,182,274,373
Africa,Sudan,229,227,194,227,423
Oceania,Palau,199,231,186,231,385
Europe,France,185,245,198,245,383
North America,Turks and Caicos Islands,213,274,194,274,407
Europe,Greece,202,241,194,241,396
Europe,Kosovo,209,244,198,244,407
Asia,Sri Lanka,220,241,187,241,407
North America,Montserrat,202,222,210,222,412
North America,British Virgin Islands,205,265,185,265,390
North America,Dominica,186,244,177,244,363
Africa,Algeria,193,261,203,261,396
Africa,Equatorial Guinea,214,254,213,254,427
Africa,Togo,223,265,187,265,410
Europe,Slovakia,199,269,198,269,397
Africa,Reunion,226,255,184,255,410
South America,Argentina,199,238,182,238,381
Africa,Angola,189,248,180,248,369
Europe,Belgium,206,260,196,260,402
Europe,Vatican,205,258,204,258,409
Europe,San Marino,196,222,188,222,384
South America,Ecuador,193,259,184,259,377
Asia,Qatar,187,272,190,272,377
North America,Bonaire Sint Eustatius and Saba,204,255,201,255,405
Africa,Lesotho,201,265,191,265,392
Europe,Albania,194,243,181,243,375
Africa,Madagascar,206,244,189,244,395
Europe,Finland,224,278,172,278,396
Oceania,New Caledonia,194,261,177,261,371
Africa,Ghana,210,273,165,273,375
Asia,Myanmar,197,235,194,235,391
North America,Nicaragua,210,242,186,242,396
Europe,Guernsey,210,253,191,253,401
Africa,Benin,210,264,209,264,419
South America,Peru,199,271,188,271,387
Africa,Sierra Leone,193,258,201,258,394
North America,Bahamas,217,245,187,245,404
Asia,China,201,250,198,250,399
North America,Curacao,192,212,181,212,373
Asia,India,197,245,208,245,405
North America,United States,192,248,196,248,388
Europe,Belarus,207,229,187,229,394
Oceania,American Samoa,186,257,212,257,398
